HostAsset,HostAssetLabel,Title,Severity,Metric
http://example.org/OSKAR/Activity,activity,ClassWithNoSynonymsIssue,INFO,ClassWithNoSynonymsMetric
http://example.org/OSKAR/Project,project,ClassWithNoSynonymsIssue,INFO,ClassWithNoSynonymsMetric
http://example.org/OSKAR/Task,task,ClassWithNoSynonymsIssue,INFO,ClassWithNoSynonymsMetric
http://example.org/OSKAR/activityId,activityid,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/activityName,activityname,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/carriedOutIn,carriedoutin,ObjectPropertyWithNoSynonymsIssue,INFO,ObjectPropertyWithNoSynonymsMetric
http://example.org/OSKAR/contains,contains,ObjectPropertyWithNoSynonymsIssue,INFO,ObjectPropertyWithNoSynonymsMetric
http://example.org/OSKAR/dateAdded,dateadded,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/duration,duration,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/finish,finish,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/physicalComplete,physicalcomplete,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/portfolioElementLong,portfolioelementlong,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/portfolioElementShort,portfolioelementshort,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/projId,projid,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/projectFinish,projectfinish,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/projectId,projectid,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/projectName,projectname,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/projectOverallName,projectoverallname,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/projectStart,projectstart,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/revAlphanumeric,revalphanumeric,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/scheduler,scheduler,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/start,start,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/statusDate,statusdate,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/taskId,taskid,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/totalFloatHrCnt,totalfloathrcnt,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://example.org/OSKAR/udfPcProjectname,udfpcprojectname,DataPropertyWithNoSynonymsIssue,INFO,DataPropertyWithNoSynonymsMetric
http://linked.data.gov.au/def/project#Project,,ClassWithNoNameIssue,MAJOR,ClassWithNoNameMetric
http://linked.data.gov.au/def/project#Project,,ClassWithNoDescriptionIssue,MAJOR,ClassWithNoDescriptionMetric
http://linked.data.gov.au/def/project#Project,,ClassWithNoSynonymsIssue,INFO,ClassWithNoSynonymsMetric
http://purl.org/dc/elements/1.1/creator,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/dc/elements/1.1/creator,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/dc/elements/1.1/creator,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/dc/elements/1.1/title,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/dc/elements/1.1/title,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/dc/elements/1.1/title,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/dc/terms/created,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/dc/terms/created,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/dc/terms/created,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/dc/terms/description,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/dc/terms/description,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/dc/terms/description,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/dc/terms/issued,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/dc/terms/issued,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/dc/terms/issued,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/vocab/vann/preferredNamespacePrefix,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
