Metric,IRI,Value,Scaled Value,Class
Classes with no name,ClassesWithNoNameMetric,0.0,,http://example.org/OSKAR/Activity
Descriptions per class,DescriptionsPerClassMetric,1.0,,http://example.org/OSKAR/Activity
Classes with no description,ClassesWithNoDescriptionMetric,0.0,,http://example.org/OSKAR/Activity
Names per class,NamesPerClassMetric,1.0,,http://example.org/OSKAR/Activity
Synonyms per class,SynonymsPerClassMetric,0.0,,http://example.org/OSKAR/Activity
Classes with no synonym,ClassesWithNoSynonymMetric,1.0,,http://example.org/OSKAR/Activity
Descriptions per property,DescriptionsPerPropertyMetric,0.0,,http://purl.org/vocab/vann/preferredNamespaceUri
Annotation properties with no description,AnnotationPropertiesWithNoDescriptionMetric,1.0,,http://purl.org/vocab/vann/preferredNamespaceUri
Descriptions per annotation property,DescriptionsPerAnnotationPropertyMetric,0.0,,http://purl.org/vocab/vann/preferredNamespaceUri
Synonyms per property,SynonymsPerPropertyMetric,0.0,,http://purl.org/vocab/vann/preferredNamespaceUri
Names per property,NamesPerPropertyMetric,0.0,,http://purl.org/vocab/vann/preferredNamespaceUri
Synonyms per annotation property,SynonymsPerAnnotationPropertyMetric,0.0,,http://purl.org/vocab/vann/preferredNamespaceUri
Names per annotation property,NamesPerAnnotationPropertyMetric,0.0,,http://purl.org/vocab/vann/preferredNamespaceUri
Annotation properties with no synonym,AnnotationPropertiesWithNoSynonymMetric,1.0,,http://purl.org/vocab/vann/preferredNamespaceUri
Annotation properties with no name,AnnotationPropertiesWithNoNameMetric,1.0,,http://purl.org/vocab/vann/preferredNamespaceUri
Descriptions per property,DescriptionsPerPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#label
Annotation properties with no description,AnnotationPropertiesWithNoDescriptionMetric,1.0,,http://www.w3.org/2000/01/rdf-schema#label
Synonyms per property,SynonymsPerPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#label
Descriptions per annotation property,DescriptionsPerAnnotationPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#label
Names per property,NamesPerPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#label
Synonyms per annotation property,SynonymsPerAnnotationPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#label
Names per annotation property,NamesPerAnnotationPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#label
Annotation properties with no synonym,AnnotationPropertiesWithNoSynonymMetric,1.0,,http://www.w3.org/2000/01/rdf-schema#label
Annotation properties with no name,AnnotationPropertiesWithNoNameMetric,1.0,,http://www.w3.org/2000/01/rdf-schema#label
Descriptions per property,DescriptionsPerPropertyMetric,1.0,,http://example.org/OSKAR/activityId
Synonyms per data property,SynonymsPerDataPropertyMetric,0.0,,http://example.org/OSKAR/activityId
Names per data property,NamesPerDataPropertyMetric,1.0,,http://example.org/OSKAR/activityId
Synonyms per property,SynonymsPerPropertyMetric,0.0,,http://example.org/OSKAR/activityId
Names per property,NamesPerPropertyMetric,1.0,,http://example.org/OSKAR/activityId
Data properties with no description,DataPropertiesWithNoDescriptionMetric,0.0,,http://example.org/OSKAR/activityId
Descriptions per data property,DescriptionsPerDataPropertyMetric,1.0,,http://example.org/OSKAR/activityId
Data properties with no name,DataPropertiesWithNoNameMetric,0.0,,http://example.org/OSKAR/activityId
Data properties with no synonym,DataPropertiesWithNoSynonymMetric,1.0,,http://example.org/OSKAR/activityId
Descriptions per property,DescriptionsPerPropertyMetric,1.0,,http://example.org/OSKAR/taskId
Synonyms per data property,SynonymsPerDataPropertyMetric,0.0,,http://example.org/OSKAR/taskId
Names per data property,NamesPerDataPropertyMetric,1.0,,http://example.org/OSKAR/taskId
Synonyms per property,SynonymsPerPropertyMetric,0.0,,http://example.org/OSKAR/taskId
Data properties with no description,DataPropertiesWithNoDescriptionMetric,0.0,,http://example.org/OSKAR/taskId
Names per property,NamesPerPropertyMetric,1.0,,http://example.org/OSKAR/taskId
Descriptions per data property,DescriptionsPerDataPropertyMetric,1.0,,http://example.org/OSKAR/taskId
Data properties with no name,DataPropertiesWithNoNameMetric,0.0,,http://example.org/OSKAR/taskId
Data properties with no synonym,DataPropertiesWithNoSynonymMetric,1.0,,http://example.org/OSKAR/taskId
Descriptions per property,DescriptionsPerPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#seeAlso
Annotation properties with no description,AnnotationPropertiesWithNoDescriptionMetric,1.0,,http://www.w3.org/2000/01/rdf-schema#seeAlso
Names per property,NamesPerPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#seeAlso
Descriptions per annotation property,DescriptionsPerAnnotationPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#seeAlso
Synonyms per property,SynonymsPerPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#seeAlso
Synonyms per annotation property,SynonymsPerAnnotationPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#seeAlso
Annotation properties with no synonym,AnnotationPropertiesWithNoSynonymMetric,1.0,,http://www.w3.org/2000/01/rdf-schema#seeAlso
Names per annotation property,NamesPerAnnotationPropertyMetric,0.0,,http://www.w3.org/2000/01/rdf-schema#seeAlso
Annotation properties with no name,AnnotationPropertiesWithNoNameMetric,1.0,,http://www.w3.org/2000/01/rdf-schema#seeAlso
Descriptions per property,DescriptionsPerPropertyMetric,0.0,,http://www.w3.org/2002/07/owl#versionInfo
Annotation properties with no description,AnnotationPropertiesWithNoDescriptionMetric,1.0,,http://www.w3.org/2002/07/owl#versionInfo
Synonyms per property,SynonymsPerPropertyMetric,0.0,,http://www.w3.org/2002/07/owl#versionInfo
Names per property,NamesPerPropertyMetric,0.0,,http://www.w3.org/2002/07/owl#versionInfo
Descriptions per annotation property,DescriptionsPerAnnotationPropertyMetric,0.0,,http://www.w3.org/2002/07/owl#versionInfo
Synonyms per annotation property,SynonymsPerAnnotationPropertyMetric,0.0,,http://www.w3.org/2002/07/owl#versionInfo
Annotation properties with no synonym,AnnotationPropertiesWithNoSynonymMetric,1.0,,http://www.w3.org/2002/07/owl#versionInfo
Names per annotation property,NamesPerAnnotationPropertyMetric,0.0,,http://www.w3.org/2002/07/owl#versionInfo
Annotation properties with no name,AnnotationPropertiesWithNoNameMetric,1.0,,http://www.w3.org/2002/07/owl#versionInfo
Descriptions per property,DescriptionsPerPropertyMetric,1.0,,http://example.org/OSKAR/carriedOutIn
Synonyms per property,SynonymsPerPropertyMetric,0.0,,http://example.org/OSKAR/carriedOutIn
Names per property,NamesPerPropertyMetric,1.0,,http://example.org/OSKAR/carriedOutIn
Object properties with no synonym,ObjectPropertiesWithNoSynonymMetric,1.0,,http://example.org/OSKAR/carriedOutIn
Synonyms per object property,SynonymsPerObjectPropertyMetric,0.0,,http://example.org/OSKAR/carriedOutIn
Object properties with no description,ObjectPropertiesWithNoDescriptionMetric,0.0,,http://example.org/OSKAR/carriedOutIn
Names per object property,NamesPerObjectPropertyMetric,1.0,,http://example.org/OSKAR/carriedOutIn
Descriptions per object property,DescriptionsPerObjectPropertyMetric,1.0,,http://example.org/OSKAR/carriedOutIn
Object properties with no name,ObjectPropertiesWithNoNameMetric,0.0,,http://example.org/OSKAR/carriedOutIn
