HostAsset,HostAssetLabel,Title,Severity,Metric
http://linked.data.gov.au/def/project#Project,,ClassWithNoDescriptionIssue,MAJOR,ClassWithNoDescriptionMetric
http://linked.data.gov.au/def/project#Project,,ClassWithNoNameIssue,MAJOR,ClassWithNoNameMetric
http://linked.data.gov.au/def/project#Project,,ClassWithNoSynonymsIssue,INFO,ClassWithNoSynonymsMetric
http://purl.org/dc/elements/1.1/creator,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/dc/elements/1.1/creator,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/dc/elements/1.1/creator,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/dc/elements/1.1/title,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/dc/elements/1.1/title,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/dc/elements/1.1/title,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/dc/terms/created,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/dc/terms/created,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/dc/terms/created,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/dc/terms/description,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/dc/terms/description,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/dc/terms/description,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/dc/terms/issued,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/dc/terms/issued,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/dc/terms/issued,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/vocab/vann/preferredNamespacePrefix,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/vocab/vann/preferredNamespacePrefix,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/vocab/vann/preferredNamespacePrefix,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://purl.org/vocab/vann/preferredNamespaceUri,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://purl.org/vocab/vann/preferredNamespaceUri,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://purl.org/vocab/vann/preferredNamespaceUri,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://www.w3.org/2000/01/rdf-schema#label,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://www.w3.org/2000/01/rdf-schema#label,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://www.w3.org/2000/01/rdf-schema#label,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://www.w3.org/2000/01/rdf-schema#seeAlso,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://www.w3.org/2000/01/rdf-schema#seeAlso,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://www.w3.org/2000/01/rdf-schema#seeAlso,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://www.w3.org/2002/07/owl#versionInfo,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://www.w3.org/2002/07/owl#versionInfo,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://www.w3.org/2002/07/owl#versionInfo,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://www.w3.org/2004/02/skos/core#altLabel,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://www.w3.org/2004/02/skos/core#altLabel,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://www.w3.org/2004/02/skos/core#altLabel,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://www.w3.org/2004/02/skos/core#definition,,AnnotationPropertyWithNoSynonymsIssue,INFO,AnnotationPropertyWithNoSynonymsMetric
http://www.w3.org/2004/02/skos/core#definition,,AnnotationPropertyWithNoNameIssue,MAJOR,AnnotationPropertyWithNoNameMetric
http://www.w3.org/2004/02/skos/core#definition,,AnnotationPropertyWithNoDescriptionIssue,MAJOR,AnnotationPropertyWithNoDescriptionMetric
http://www.w3.org/ns/prov#Activity,,ClassWithNoDescriptionIssue,MAJOR,ClassWithNoDescriptionMetric
http://www.w3.org/ns/prov#Activity,,ClassWithNoNameIssue,MAJOR,ClassWithNoNameMetric
http://www.w3.org/ns/prov#Activity,,ClassWithNoSynonymsIssue,INFO,ClassWithNoSynonymsMetric
https://www.semanticprojectcontrol.com/ilap/merged/Task,,ClassWithNoNameIssue,MAJOR,ClassWithNoNameMetric
https://www.semanticprojectcontrol.com/ilap/merged/Task,,ClassWithNoDescriptionIssue,MAJOR,ClassWithNoDescriptionMetric
https://www.semanticprojectcontrol.com/ilap/merged/Task,,ClassWithNoSynonymsIssue,INFO,ClassWithNoSynonymsMetric
